id,lang,path,sr,text
1,en,en/1.wav,16000,I'M ENJOYING A QUIET AFTERNOON READING A GOOD BOOK.
2,en,en/2.wav,16000,THE SNOW IS GENTLY FALLING AND COVERING THE GROUND IN A BLANKET OF WHITE.
3,en,en/3.wav,16000,THE SUN IS SHINING BRIGHTLY AND WARMING MY FACE.
4,en,en/4.wav,16000,I'M HIKING THROUGH THE FOREST AND LISTENING TO THE SOUND OF BIRDS CHIRPING.
5,en,en/5.wav,16000,"THE STORM IS RAGING OUTSIDE, BUT I'M SAFE AND COZY INDOORS."
6,en,en/6.wav,16000,THE FLOWERS IN THE PARK ARE IN FULL BLOOM AND LOOK BEAUTIFUL.
7,en,en/7.wav,16000,I'M ENJOYING THE VIEW FROM THE TOP OF THE MOUNTAIN AFTER A LONG HIKE.
8,en,en/8.wav,16000,THE AIR IS COOL AND CRISP ON THIS AUTUMN MORNING.
9,en,en/9.wav,16000,THE CITY LIGHTS ARE GLOWING BRIGHTLY IN THE NIGHT SKY.
10,en,en/10.wav,16000,I'M RELAXING IN THE HAMMOCK AND ENJOYING THE SUNSHINE.
11,en,en/11.wav,16000,"THE WATERFALL IS MAJESTIC AND BEAUTIFUL, CASTING A RAINBOW OVER THE SURROUNDING AREA."
12,en,en/12.wav,16000,I'M WALKING ALONG THE BEACH AND COLLECTING SEASHELLS.
13,en,en/13.wav,16000,"THE AUTUMN COLORS ARE SPECTACULAR, WITH SHADES OF ORANGE, YELLOW, AND RED."
14,en,en/14.wav,16000,I'M ENJOYING A DELICIOUS MEAL OF FRESH SEAFOOD AND VEGETABLES.
15,en,en/15.wav,16000,THE CITY IS QUIET AND CALM IN THE EARLY MORNING HOURS.
16,en,en/16.wav,16000,I'M HAVING A BLAST AT THE AMUSEMENT PARK ON THIS BEAUTIFUL DAY.
17,en,en/17.wav,16000,THE SNOW-COVERED MOUNTAINS LOOK MAJESTIC IN THE DISTANCE.
18,en,en/18.wav,16000,THE OCEAN IS CALM AND SERENE ON THIS BEAUTIFUL DAY.
19,en,en/19.wav,16000,I'M WARMING MY HANDS BY THE FIRE AND ENJOYING A CUP OF HOT CHOCOLATE.
20,en,en/20.wav,16000,I'M ENJOYING A QUIET AFTERNOON READING A GOOD BOOK.
21,en,en/21.wav,16000,THE CLOUDS ARE DARK AND HEAVY WITH RAIN.
22,en,en/22.wav,16000,I'M LOOKING FORWARD TO MY NEXT TRIP TO THE BEACH.
23,en,en/23.wav,16000,THE MOUNTAIN RANGE IS MAJESTIC AND IMPRESSIVE.
24,en,en/24.wav,16000,I CAN SMELL THE FLOWERS IN THE GARDEN FROM HERE.
25,en,en/25.wav,16000,THE STARS ARE SHINING BRIGHTLY IN THE NIGHT SKY.
26,en,en/26.wav,16000,I'M ENJOYING A DELICIOUS CUP OF COFFEE THIS MORNING.
27,en,en/27.wav,16000,THE AUTUMN LEAVES ARE FALLING FROM THE TREES IN A RAINBOW OF COLORS.
28,en,en/28.wav,16000,I'M FEELING INSPIRED TO START A NEW PROJECT TODAY.
29,en,en/29.wav,16000,THE OCEAN WAVES ARE CRASHING AGAINST THE SHORE WITH A ROAR.
30,en,en/30.wav,16000,THE CITY IS BUSTLING WITH ENERGY AND EXCITEMENT.
